bir;iki;uc;dort;bes;altý;yedi;sekiz;dokuz;on;onbir;oniki;onuc;ondort;onbes;onaltý;onyedi;onsekiz;ondokuz;yirmi;yirmibir;yirmiki;yirmiuc;yirmidort;yirmibes;yirmialtý;yirmiyedi;yirmisekiz;yirmidokuz;otuz;otuzbir
142;92;184;44;137;62;183;147;117;170;122;176;12;53;153;122;129;133;122;121;1;5;148;152;44;196;132;158;26;72;62
61;68;174;176;96;134;40;27;178;27;73;103;109;147;78;175;37;125;102;117;91;8;131;101;192;182;38;160;108;53;11
127;177;53;115;64;133;55;159;97;68;130;64;94;39;106;41;155;31;144;3;98;150;169;124;46;175;71;85;29;0;11
119;59;80;120;147;36;194;169;190;111;138;103;165;80;130;74;180;53;120;10;0;58;166;92;65;41;17;198;156;117;25
59;135;100;93;159;52;196;27;120;144;137;14;26;194;167;37;134;185;21;164;137;58;103;179;141;27;34;146;109;67;157
92;26;97;172;74;163;109;166;26;170;132;15;127;83;75;54;108;116;174;19;92;84;58;26;172;138;86;9;197;119;134
55;37;116;75;78;176;69;179;96;53;45;126;140;113;108;185;55;122;142;128;109;78;70;59;141;161;16;--;--;--;--
17;139;152;13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
183;41;27;54;153;72;152;182;125;5;71;36;145;46;10;39;14;161;134;19;15;185;94;118;196;138;60;30;183;121;29
1;69;64;28;71;186;39;77;103;118;45;3;188;57;145;153;132;92;48;84;195;158;195;137;141;144;134;161;17;12;89
26;50;37;165;123;43;128;45;43;180;111;61;161;165;88;36;145;121;45;186;162;74;84;94;156;84;70;62;43;58;15
135;196;82;97;66;111;58;159;153;39;97;115;167;173;124;23;119;123;172;82;124;149;56;2;68;188;97;127;1;166;147
106;10;180;34;162;49;31;96;138;111;186;117;178;71;136;109;79;196;182;185;83;116;83;42;94;84;84;42;49;41;108
77;93;141;75;10;40;126;132;191;174;55;13;58;192;130;38;146;41;86;29;178;115;35;90;129;49;133;121;29;153;143
100;76;147;34;184;131;106;112;82;113;84;59;25;135;19;54;94;89;21;119;165;9;188;20;19;143;194;38;57;167;27
